regiao,uf,cidade,sexo,faixa_etaria,ano_abertura,mes_abertura,data_abertura,data_resposta,tempo_resposta,nome_fantasia,segmento_de_mercado,area,assunto,grupo_problema,problema,como_comprou_contratou,procurou_empresa,respondida,situacao,avaliacao_reclamacao,nota_do_consumidor,resolvida,contexto_ia,resumo_ia,categoria_ia,sentimento_ia,urgencia_ia
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,7,2023-07-17,2023-07-24,7.0,Omni Financeira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança de compra/saque não reconhecido,Não comprei / contratei,N,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Cobrança de compra/saque não reconhecido | Grupo: Cobrança / Contestação,O cliente reclama sobre cobrança de compra/saque não reconhecido.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,F,entre 51 a 60 anos,2024,8,2024-08-05,2024-08-06,1.0,Latam Airlines (Tam),Transporte Aéreo,Transportes,Aéreo,Informação,"Falta de informação sobre atraso, cancelamento ou interrupção de voo",Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,"Área: Transportes | Assunto: Aéreo | Problema: Falta de informação sobre atraso, cancelamento ou interrupção de voo | Grupo: Informação","Falta de informação sobre atrasos, cancelamentos ou interrupções de voos.",Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,3,2023-03-20,2023-03-29,9.0,Claro TV,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Telecomunicações | Assunto: Pacote de Serviços ( Combo ) | Problema: Cobrança indevida / abusiva para alterar ou cancelar o contrato | Grupo: Cobrança / Contestação,A empresa cobrou indevidamente por alterar ou cancelar um contrato de pacote de serviços.,Cobrança,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2025,1,2025-01-13,2025-01-21,8.0,Vivo - Telefônica,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Produtos de Telefonia e Informática | Assunto: Aparelho celular | Problema: Cobrança por serviço/produto não contratado / não reconhecido / não solicitado | Grupo: Cobrança / Contestação,"Cliente reclama sobre cobrança indevida por serviços ou produtos não contratados, não reconhecidos ou não solicitados.",Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,3,2023-03-14,2023-03-21,7.0,Carrefour.com,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Fogão, microondas, forno elétrico, depurador de ar e coifa",Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,S,Finalizada avaliada,Resolvida,1.0,1,"Área: Produtos Eletrodomésticos e Eletrônicos | Assunto: Fogão, microondas, forno elétrico, depurador de ar e coifa | Problema: Cobrança indevida / abusiva para alterar ou cancelar o contrato | Grupo: Cobrança / Contestação",Cliente reclama cobrança indevida e abusiva por alterações no contrato.,Cobrança,Muito Negativo,Media
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2024,12,2024-12-01,2024-12-02,1.0,Smiles,Programas de Fidelidade,Transportes,Aéreo,Contrato / Oferta,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Transportes | Assunto: Aéreo | Problema: Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc) | Grupo: Contrato / Oferta",Dificuldade com programas de fidelidade do transporte aéreo.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2024,5,2024-05-25,2024-06-03,9.0,Samsung,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos de Telefonia e Informática,Aparelho celular,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Produtos de Telefonia e Informática | Assunto: Aparelho celular | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,Cliente alega que a oferta de compra de aparelho celular não foi cumprida.,Contrato / Oferta,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2023,5,2023-05-26,2023-05-29,3.0,Gol Linhas Aéreas,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Transportes | Assunto: Aéreo | Problema: Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa | Grupo: Contrato / Oferta,Cliente alega que a oferta de voo não foi cumprida e que o serviço não foi fornecido.,Produto,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2024,7,2024-07-15,2024-07-23,8.0,Sky Airline,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,Área: Transportes | Assunto: Aéreo | Problema: Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores | Grupo: Cobrança / Contestação,Dificuldade na devolução de valores pagos por serviços aéreos.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2022,12,2022-12-19,2022-12-26,7.0,Google,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços ,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Vício de Qualidade,Dificuldade para alterar/ ativar serviços,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Demais Serviços  | Assunto: Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc) | Problema: Dificuldade para alterar/ ativar serviços | Grupo: Vício de Qualidade",Dificuldade para alterar ou ativar serviços na internet.,Atendimento,Negativo,Alta
